Date,Price,Open,High,Low,Vol. (Millions),Change %
5/19/2023,46.72,46.66,46.92,46.45,129.31,0.45%
5/18/2023,46.51,46.85,46.98,46.38,122.69,0.45%
5/17/2023,46.3,45.5,46.3,45.13,158.07,1.31%
5/16/2023,45.7,46.12,46.38,45.7,216.39,-1.23%
5/15/2023,46.27,45.91,46.27,45.61,241.49,1.56%
5/12/2023,45.56,46.04,46.3,45.56,210.33,-0.70%
5/11/2023,45.88,46.15,46.53,45.34,148.53,-0.63%
5/10/2023,46.17,46.53,46.84,45.9,131.97,0.09%
5/9/2023,46.13,45.78,46.42,45.61,365.76,0.70%
5/5/2023,45.81,45.59,46.37,45.51,142.55,1.01%
5/4/2023,45.35,45.91,46.36,45.05,158.37,-1.37%
5/3/2023,45.98,47.6,48.05,45.3,296.93,-3.57%
5/2/2023,47.68,48,48.76,47.68,208.14,-1.08%
4/28/2023,48.2,48.56,48.62,47.25,193.29,-1.27%
4/27/2023,48.82,48.64,49.27,48.52,93.69,0.45%
4/26/2023,48.6,48.31,48.69,47.67,105.80,0.77%
4/25/2023,48.23,48.6,48.72,47.84,170.55,-1.39%
4/24/2023,48.91,48.7,49.37,48.6,115.86,0.10%
4/21/2023,48.86,49.55,49.59,48.63,105.29,-0.31%
4/20/2023,49.01,49.57,49.84,48.84,114.01,-0.51%
4/19/2023,49.26,48.78,49.38,48.72,84.94,0.88%
4/18/2023,48.83,48.8,49.24,48.7,92.55,0.78%
4/17/2023,48.45,49.2,49.33,48.24,131.58,-1.00%
4/14/2023,48.94,48.34,49.19,48.22,127.78,0.89%
4/13/2023,48.51,49.88,49.88,48.02,154.34,-2.75%
4/12/2023,49.88,49.58,50.3,49.48,243.82,0.91%
4/11/2023,49.43,48.91,49.9,48.91,165.07,0.84%
4/6/2023,49.02,48.37,49.3,48.31,114.28,1.22%
4/5/2023,48.43,48.3,48.97,48.02,104.84,0.69%
4/4/2023,48.1,48.38,48.83,48.03,175.66,-0.27%
4/3/2023,48.23,48.12,48.84,46.79,110.99,1.17%
3/31/2023,47.67,47.7,48.13,47.41,134.25,-0.21%
3/30/2023,47.77,47.45,48.09,47.24,213.51,1.38%
3/29/2023,47.12,46.34,47.18,46.34,80.54,1.55%
3/28/2023,46.4,46.95,47.19,46.09,218.59,0.17%
3/27/2023,46.32,46.36,46.8,45.84,138.32,1.31%
3/24/2023,45.72,46.45,46.6,44.9,203.59,-2.41%
3/23/2023,46.85,47.61,48.12,46.85,221.66,-1.93%
3/22/2023,47.77,47.82,49.04,47.7,206.73,-0.81%
3/21/2023,48.16,46.65,48.7,46.65,149.46,4.47%
3/20/2023,46.1,44.81,46.73,43.66,229.19,-0.32%
3/17/2023,46.25,47.81,48.7,45.8,471.30,-2.57%
3/16/2023,47.47,46.85,47.91,46.74,295.66,3.15%
3/15/2023,46.02,48.27,48.58,45.57,238.85,-4.58%
3/14/2023,48.23,47.44,48.77,46.53,187.38,2.12%
3/13/2023,47.23,50,50.06,47.18,276.58,-5.10%
3/10/2023,49.77,49.7,50.24,48.91,224.82,-3.28%
3/9/2023,51.46,51.57,51.69,51.3,89.50,-0.27%
3/8/2023,51.6,50.88,51.88,50.76,96.33,0.49%
3/7/2023,51.35,52.13,52.19,51.21,190.33,-0.81%
3/6/2023,51.77,51.74,51.99,51.17,101.88,-0.04%
3/3/2023,51.79,51.31,51.79,51.24,84.55,0.88%
3/2/2023,51.34,51.8,51.87,51.02,174.89,-1.19%
3/1/2023,51.96,52.62,52.89,51.96,241.61,-1.25%
2/28/2023,52.62,51.4,52.94,51.32,263.41,1.60%
2/27/2023,51.79,51.84,52.3,51.7,110.73,0.25%
2/24/2023,51.66,52,52.16,51.5,221.05,-0.65%
2/23/2023,52,51.3,52.31,51.08,154.76,1.44%
2/22/2023,51.26,50.1,51.54,49.44,187.57,0.57%
2/21/2023,50.97,51.56,51.56,50.73,147.38,-1.11%
2/20/2023,51.54,51.09,51.94,51.02,92.72,1.24%
2/17/2023,50.91,51.24,51.8,50.29,325.43,-3.83%
2/16/2023,52.94,52.65,53.06,52.45,81.11,1.07%
2/15/2023,52.38,53,53.24,50.92,178.29,-2.62%
2/14/2023,53.79,53.12,54.04,53,122.99,1.36%
2/13/2023,53.07,53.43,53.7,53.04,67.40,-0.41%
2/10/2023,53.29,53.49,54.1,53.01,203.87,-1.26%
2/9/2023,53.97,53.61,54.33,53.48,540.54,0.60%
2/8/2023,53.65,53.73,53.97,53.23,76.76,0.37%
2/7/2023,53.45,53.13,53.7,52.96,174.46,1.17%
2/6/2023,52.83,53.54,53.74,52.48,167.12,-0.94%
2/3/2023,53.33,53.42,53.5,52.4,95.03,-0.30%
2/2/2023,53.49,53.05,53.77,52.79,119.59,0.96%
2/1/2023,52.98,52.75,53.08,52.37,253.56,0.76%
1/31/2023,52.58,52.79,52.99,52.16,145.95,-0.75%
1/30/2023,52.98,52.53,53.07,51.98,214.85,0.74%
1/27/2023,52.59,52.77,52.86,52.42,94.22,0.17%
1/26/2023,52.5,51.2,52.67,51,163.52,3.04%
1/25/2023,50.95,50.13,51.5,49.95,152.74,1.64%
1/24/2023,50.13,50,50.26,49.67,123.33,0.64%
1/23/2023,49.81,49.53,49.81,49.3,85.09,1.10%
1/20/2023,49.27,49.1,49.5,48.87,222.98,0.96%
1/19/2023,48.8,48.84,49.29,48.41,122.34,-1.35%
1/18/2023,49.47,49.45,50.07,49.16,109.10,-0.06%
1/17/2023,49.5,49.9,49.91,49.32,266.20,-0.50%
1/16/2023,49.75,49.76,49.91,49.38,164.37,0.26%
1/13/2023,49.62,48.99,49.98,48.76,148.14,1.78%
1/12/2023,48.75,48.15,48.84,47.79,121.97,1.39%
1/11/2023,48.08,48.05,48.12,47.34,175.32,0.10%
1/10/2023,48.03,47.74,48.31,47.74,95.19,-0.46%
1/9/2023,48.25,48.23,48.69,47.85,209.91,0.50%
1/6/2023,48.01,48.41,48.46,47.83,280.18,-0.62%
1/5/2023,48.31,47.38,48.47,46.85,208.04,1.81%
1/4/2023,47.45,47.35,47.48,46.98,116.82,0.68%
1/3/2023,47.13,46.05,47.13,45.77,174.99,3.79%
